"","English","No language","Chinese","German","Japanese","French","Spanish","Czech","Arabic","Dutch"
"Machine Translation",316,31,129,101,77,109,70,44,53,18
"Machine Learning",159,66,52,26,26,20,17,28,13,12
"Logic",140,61,10,37,24,14,9,6,3,15
"Dialog",91,56,4,20,19,11,5,5,3,4
"Natural Language Generation",87,20,14,23,9,9,5,4,1,7
"Syntax",75,13,14,12,14,15,5,8,5,4
"Named Entity Recognition",32,7,14,8,11,4,7,3,6,1
"Phonology",37,2,2,9,10,7,5,1,5,2
"Natural Language Interface",35,7,1,5,2,3,1,1,1,1
"Summarization",15,19,4,1,3,0,1,5,1,1
"Speech Recognition",15,19,8,6,1,5,4,0,3,1
"Tree Adjoining Grammars",20,13,1,7,4,6,3,3,2,9
"Metrics",15,13,3,1,5,3,0,2,4,1
"Morphology",34,1,6,7,5,5,5,5,9,5
"POS Tagging",22,2,12,6,5,3,2,6,8,0
"Multilingual",27,3,8,9,6,5,6,7,1,3
"Information Extraction",16,7,1,3,5,1,3,2,0,1
"Wordnet",21,5,2,3,2,4,2,2,0,0
"Dependency Parsing",23,3,7,7,9,0,2,10,3,4
"Lexical Semantics",21,3,0,3,3,5,3,2,0,0
"Knowledge Representation",14,6,0,4,0,0,1,0,0,0
"Reranking",14,6,2,4,2,3,1,3,2,1
"Word Sense Disambiguation",18,2,7,6,2,4,4,4,2,0
"Question Answering",12,6,0,0,2,1,1,0,0,0
"Coherence",15,4,0,2,3,2,2,0,0,2
