year,English,No language,Chinese,German,Japanese,French,Spanish,Czech,Arabic,Dutch
1979,12,10,0,0,0,2,0,0,0,0
1980,28,13,1,2,0,2,1,0,0,0
1981,26,9,1,2,1,0,1,0,0,0
1982,24,13,0,0,0,0,2,0,0,0
1983,21,3,0,2,2,4,1,0,0,3
1984,76,24,5,13,17,12,6,2,3,5
1985,33,7,0,0,3,5,1,0,0,1
1986,34,6,2,3,4,4,2,0,1,2
1987,28,4,0,1,3,3,1,0,1,3
1988,28,4,2,4,5,6,2,1,2,2
1989,28,4,0,5,2,4,1,0,0,4
1990,25,11,1,6,5,3,1,0,1,7
1991,32,15,1,9,7,8,3,0,0,4
1992,30,18,4,3,4,3,3,0,1,4
1993,31,9,2,8,9,5,2,0,0,1
1994,31,13,5,6,7,4,2,0,0,4
1995,36,13,2,12,6,4,2,0,1,5
1996,39,11,4,8,10,13,7,1,1,4
1997,50,12,7,17,12,13,8,2,3,6
1998,171,40,28,45,63,43,16,8,8,10
1999,54,26,8,16,10,12,7,3,2,4
2000,48,16,12,8,17,8,6,2,4,5
2002,42,15,11,9,11,7,7,2,4,1
2004,80,38,21,28,13,25,23,10,7,7
2005,93,29,20,23,14,14,9,8,10,4
2006,218,50,89,61,61,48,30,18,33,7
2008,131,58,49,25,16,18,16,44,24,6
2009,149,55,72,32,32,21,23,40,23,12
2010,179,49,67,56,36,27,26,59,24,20
